疑う うたがう 의심하다
裏 うら 뒤,뒤쪽
月末　げつまつ 월말
高価　こうか 고가
小型　こがた 소형
断る　ことわる 거절하다
産業　さんぎょう 산업
選手　せんしゅ 선수
退院　たいいん 퇴원
朝刊　ちょうかん 조간
広場　ひろば 광장
夫婦　ふうふ 부부
復習　ふくしゅう 복습
細い　ほそい 좁다
汚す　よごす 더럽히다
留守　るす 부재중
横断　おうだん 횡단
角　かど 모퉁이
比べる　くらべる 비교하다
計算　けいさん 계산
血圧　けつあつ 혈압
件　けん 초
現在　げんざい 현재
情報　じょうほう 정보
包む　つつむ 싸다,포장하다
複数　ふくすう 복수
丸い　まるい 둥글다
難しい　むずかしい 어렵다
夕日　ゆうひ 석양
有名だ　ゆうめいだ 유명하다 
容器　ようき 용기
過去　かこ 과거
悲しい　かなしい 슬프다
恋しい　こいしい 그립다
呼吸　こきゅう 호흡
自然　しぜん 자연
増減　ぞうげん 증감
駐車　つうち 주차
動作　どうさ 동작
努力　どりょく 노력
逃げる　にげる 도망치다,달아나다
残り　のこり 나머지
生える　はえる 나다,자라다
秒　びょう 초
郵送　ゆうそう 우송
預ける　あずける 맡기다
岩　いわ 바위
交流　こうりゅう 교류
種類　しゅるい 종류
調査　ちょうさ 조사
普通　ふつう 보통,대개
印象　いんしょう 인상
遅い　おそい 늦다
各駅　かくえき 각역
勝つ　かつ 이기다
腰　こし 허리
上品だ　じょうひんだ 고상하다
線　せん 선
助ける　たすける 돕다,살리다
昼食　ちゅうしょく 중식,점심식사
方角　ほうがく 방위,방향
未来　みらい 미래
郵便　ゆうびん 우편
予約　よやく 예약
若い　わかい 젊다
遊ぶ　あそぶ 놀다
改札　かいさつ 개찰(구)
換える　かえる 바꾸다
機械　きかい 기계
休日　きゅうじつ 휴일
塩　しお 소금
制服　せいふく 제복
相談　そうだん 상담,상의
卒業　そつぎょう 졸업
確かに　たしかに 확실히
得意だ　とくいだ 자신있다
部分　ぶぶん 부분
命令　めいれい 명령
位置　いち 위치
下線　かせん 밑줄
汚い　きたない 더럽다
禁煙　きんえん 금연
転ぶ　ころぶ 넘어지다
手術　しゅじゅつ 수술
主要だ　しゅようだ 주요하다
商品　しょうひん 상품
早退　そうたい 조퇴
直接　ちょくせつ 직접
冷える　ひえる 차가워지다,식다
回す　まわす 돌리다,회전시키다
結ぶ　むすぶ 잇다,매다,묶다
燃える　もえる 타다
折れる　おれる 부러지다,꺾이다
観客　かんきゃく 관객
共通　きょうつう 공통
加える　くわえる 더하다,보태다
訓練　くんれん 훈련
個人　こじん 개인
税金　ぜいきん 세금
到着　とうちゃく 도착
独立　どくりつ 독립
測る　はかる 재다,달다
払う　はらう 내다,지불하다
方向　ほうこう 방향
豆　まめ 콩
申し込む　もうしこむ 신청
表す　あらわす 나타내다
美しい　うつくしい 아름답다
首　くび 목
経営学　けいえいがく 경영학
血液型　けつえきがた 혈액형
支給　しきゅう 지급
想像　そうぞう 상상
朝食　ちょうしょく 조식,아침식사
伝える　つたえる 전하다
荷物　にもつ 짐,화물
分類　ぶんるい 분류
平均　へいきん 평균
変化　へんか 변화
干す　ほす 말리다
湖　みずうみ 호수
汚れる　よごれる 더러워지다
相手　あいて 상대
厚い　あつい 두껍다
一般的だ　いっぱんてきだ 일반적이다
応用　おうよう 응용
覚える　おぼえる 기억하다,외우다
替える　かえる 바꾸다,교환하다
検査　けんさ 검사
広告　こうこく 광고
集中　しゅうちゅう 집중
商業　しょうぎょう 상업
食器　しょっき 식기
大会　たいかい 대회
横　よこ 옆,가로
割れる　われる 갈라지다,깨지다
浅い　あさい 앝다
各地　かくち 각지
苦しい　くるしい 괴롭다,난처하다
事情　じじょう 사정
実力　じつりょく 실력
出張　しゅっちょう 출장
席　せき 자리
貯金　ちょきん 저금
根　ね 뿌리
文章　ぶんしょう 문장
笑う　わらう 웃다
合図　あいず 신호
汗　あせ 땀
以降　いこう 이후
笑顔　えがお 웃는얼굴
固い　かたい 단단하다,굳다
完成　かんせい 완성
配る　くばる 분배하다,배포하다
外科　げか 외과
困る　こまる 곤란하다
島　しま 섬
示す　しめす 가리키다,보이다,나타내다
他人　たにん 타인
平日　へいじつ 평일
短い　みじかい 짧다
応募　おうぼ 응모
遅れる　おくれる 늦다
折る　おる 접다,꺾다
返す　かえす 돌리다,돌려주다
価格　かかく 가격
疑問　ぎもん 의문
協力　きょうりょく 협력
首都　しゅと 수도
単語　たんご 단어
地球　ちきゅう 지구
発表　はっぴょう 발표
表面　ひょうめん 표면
深い　ふかい 깊다
息　いき 숨
移す　うつす 옮기다
空席　くうせき 공석
組む　くむ 짜다
苦労　くろう 고생
失業　しつぎょう 실업
順番　じゅんばん 순번,차례
通勤　つうきん 통근
発見　はっけん 발견
降りる　おりる 내리다
会費　かいひ 회비
必ず　かならず 반드시
空　から 빔
帰宅　きたく 귀가
細かい　こまかい 작다,잘다
心配する　しんぱいする 걱정하다
制服　せいふく 교복
短気だ　たんきだ 성질이급하다
法律　ほうりつ 법률
焼く　やく 굽다
薬局　やっきょく 약국
胃　い 위
一般的だ　いっぱんてきだ 일반적이다
笑顔　えがお 웃는얼굴
絵画　かいが 회화,그림
記録　きろく 기록
黒板　こくばん 칠판
吸う　すう 들이마시다
確かだ　たしかだ 확실하다
冷える　ひえる 차가워지다
短い　みじかい 짧다
預ける　あずける 맡기다
暖かい　あたたかい 따뜻하다
重ねる　かさねる 포개다,겹치다
規則　きそく 규칙
性格　せいかく 성격
伝言　でんごん 전언
泊まる　とまる 묵다,숙박하다
娘　むすめ 딸
予想　よそう 예상
以降　いこう 이해
観察　かんさつ 관찰
逆　ぎゃく 반대,거꾸로임
泣く　なく 울다
低い　ひくい 낮다
複雑だ　ふくざつだ 복잡하다
浅い　あさい 얕다
現れる　あらわれる 나타나다
内側　うちがわ 안쪽
家具　かぐ 가구
記念　きねん 기념
最初　さいしょ 최초
停電　ていでん 정전
訳する　やくする 번역하다
理由　りゆう 이유
当たる　あたる 맞다
厚い　あつい 두껍다
右折　うせつ 우회전
週刊誌　しゅうかんし 주간지
出勤　しゅっきん 출근
疲れ　つかれ 피로
続き　つづき 계속,연결
熱心だ　ねっしんだ 복잡하다
関係　かんけい 관계
期待　きたい 기대
教師　きょうし 교사
経由　けいゆ 경유
困る　こまる 곤란하다
坂道　さかみち 비탈길,언덕길
頭痛　ずつう 두통
違う　ちがう 다르다
飛ぶ　とぶ 날다
葉　は 잎,잎사귀
秒　びょう 초
組む　くむ 끼다
乗車　じょうしゃ 승차
成績　せいせき 성적
波　なみ 파도,물결
逃げる　にげる 도망치다,달아나다
眠る　ねむる 잠자다
速く　はやく 빨리
回す　まわす 돌리다
満足　まんぞく 만족
焼く　やく 굽다,태우다
輸出　ゆしゅつ 수출
借りる　かりる 빌리다
関心　かんしん 관심
規則　きそく 규칙
欠点　けってん 결점
原因　げんいん 원인
現在　げんざい 현재
正解　せいかい 정답
勤める　つとめる 근무하다
投げる　なげる 던지다
願う　ねがう 바라다,원하다
緑　みどり 녹색
温泉　おんせん 온천
仮定　かてい 가정
消す　けす 끄다
欠席　けっせき 결석
減少　げんしょう 감소
細かい　こまかい 잘다,작다
雑誌　ざっし 잡지
駐車　ちゅうしゃ 주차
複数　ふくすう 복수
若い　わかい 젊다
遅い　おそい 늦다
重ねる　かさねる 겹치다,포개다
疲れる　つかれる 피곤하다
貨す　かす 빌려주다
残業　ざんぎょう 잔업
信じいる　しんじる 믿다
包む　つつむ 포장하다,감싸다
停電　ていでん 정전
独身　どくしん 독신
逃げる　にげる 도망치다
倍　ばい 배
容器　ようき 용기,그릇
温める　あたためる 따뜻하게하다,데우다
記録　きろく 기록
原料　げんりょう 윈료
自信　じしん 자신
育てる　そだてる 키우다,기르다
歯　は 이,이빨
復習　ふくしゅう 복습
守る　まもる 지키다,보호하다
案内　あんない 안내
痛い　いたい 아프다
解決　かいけつ 해결
観光　かんこう 관광
